Column,Name of Field,Description,Comments,,,,,
ML,TOTAL_NURSES_HC_70PLUS,Total Nurses aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MM,TOTAL_NURSES_HC_UNKNOWN_AGE,Total Nurses with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MN,MALE_NURSES_HC_UNDER25,Male Nurses aged under 25 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MO,MALE_NURSES_HC_25TO29,Male Nurses aged 25 to 29 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MP,MALE_NURSES_HC_30TO34,Male Nurses aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MQ,MALE_NURSES_HC_35TO39,Male Nurses aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MR,MALE_NURSES_HC_40TO44,Male Nurses aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MS,MALE_NURSES_HC_45TO49,Male Nurses aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MT,MALE_NURSES_HC_50TO54,Male Nurses aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MU,MALE_NURSES_HC_55TO59,Male Nurses aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MV,MALE_NURSES_HC_60TO64,Male Nurses aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MW,MALE_NURSES_HC_65TO69,Male Nurses aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MX,MALE_NURSES_HC_70PLUS,Male Nurses aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MY,MALE_NURSES_HC_UNKNOWN_AGE,Male Nurses with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
MZ,FEMALE_NURSES_HC_UNDER25,Female Nurses aged under 25 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NA,FEMALE_NURSES_HC_25TO29,Female Nurses aged 25 to 29 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NB,FEMALE_NURSES_HC_30TO34,Female Nurses aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NC,FEMALE_NURSES_HC_35TO39,Female Nurses aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
ND,FEMALE_NURSES_HC_40TO44,Female Nurses aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NE,FEMALE_NURSES_HC_45TO49,Female Nurses aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NF,FEMALE_NURSES_HC_50TO54,Female Nurses aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NG,FEMALE_NURSES_HC_55TO59,Female Nurses aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NH,FEMALE_NURSES_HC_60TO64,Female Nurses aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NI,FEMALE_NURSES_HC_65TO69,Female Nurses aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NJ,FEMALE_NURSES_HC_70PLUS,Female Nurses aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NK,FEMALE_NURSES_HC_UNKNOWN_AGE,Female Nurses with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NL,TOTAL_DPC_HC,Total General Medical Practice Direct Patient Care Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NM,TOTAL_DPC_DISPENSER_HC,Total Dispensers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NN,TOTAL_DPC_HCA_HC,Total Health Care Assistants Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NO,TOTAL_DPC_PHLEB_HC,Total Phlebotomists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NP,TOTAL_DPC_PHARMA_HC,Total Pharmacists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NQ,TOTAL_DPC_PHYSIO_HC,Total Physiotherapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NR,TOTAL_DPC_PODIA_HC,Total Podiatrists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NS,TOTAL_DPC_PHYSICIAN_ASSOC_HC,Total Physician Associates Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NT,TOTAL_DPC_THERA_COU_HC,Total Therapist- Counsellors Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NU,TOTAL_DPC_THERA_OCC_HC,Total Therapist- Occupational Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NV,TOTAL_DPC_THERA_OTH_HC,Total Therapist- Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NW,TOTAL_DPC_NURSE_ASSOC_HC,Total Nursing Associates Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NX,TOTAL_DPC_PARAMED_HC,Total Paramedics Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NY,TOTAL_DPC_PHARMT_HC,Total Pharmacy Technicians Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
NZ,TOTAL_DPC_SPLW_HC,Total Social Prescribing Link Workers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OA,TOTAL_DPC_HI_THERA_HC,Total High Intensity Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OB,TOTAL_DPC_TRAINEE_HI_THERA_HC,Total Trainee High Intensity Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OC,TOTAL_DPC_PSYCH_WELLB_PRAC_HC,Total Psychological Wellbeing Practitioners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OD,TOTAL_DPC_TRAINEE_PSYCH_WELLB_PRAC_HC,Total Trainee Psychological Wellbeing Practitioners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OE,TOTAL_DPC_APP_HCA_HC,Total Apprentice - Health Care Assistants Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OF,TOTAL_DPC_APP_PHLEB_HC,Total Apprentice - Phlebotomists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OG,TOTAL_DPC_APP_PHARMA_HC,Total Apprentice - Pharmacists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OH,TOTAL_DPC_APP_PHYSIO_HC,Total Apprentice - Physiotherapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OI,TOTAL_DPC_APP_OTH_HC,Total Apprentice - Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OJ,TOTAL_DPC_APPRENTICE_HC,Total Apprentice - Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OK,TOTAL_DPC_OTH_HC,Total Other Direct Patient Care Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OL,MALE_DPC_HC,Male General Medical Practice Direct Patient Care Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OM,MALE_DPC_DISPENSER_HC,Male Dispensers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
ON,MALE_DPC_HCA_HC,Male Health Care Assistants Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OO,MALE_DPC_PHLEB_HC,Male Phlebotomists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OP,MALE_DPC_PHARMA_HC,Male Pharmacists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OQ,MALE_DPC_PHYSIO_HC,Male Physiotherapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OR,MALE_DPC_PODIA_HC,Male Podiatrists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OS,MALE_DPC_PHYSICIAN_ASSOC_HC,Male Physician Associates Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OT,MALE_DPC_THERA_COU_HC,Male Therapist- Counsellors Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OU,MALE_DPC_THERA_OCC_HC,Male Therapist- Occupational Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OV,MALE_DPC_THERA_OTH_HC,Male Therapist- Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OW,MALE_DPC_NURSE_ASSOC_HC,Male Nursing Associates Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OX,MALE_DPC_PARAMED_HC,Male Paramedics Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OY,MALE_DPC_PHARMT_HC,Total Pharmacy Technicians Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
OZ,MALE_DPC_SPLW_HC,Total Social Prescribing Link Workers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PA,MALE_DPC_HI_THERA_HC,Total High Intensity Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PB,MALE_DPC_TRAINEE_HI_THERA_HC,Total Trainee High Intensity Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PC,MALE_DPC_PSYCH_WELLB_PRAC_HC,Total Psychological Wellbeing Practitioners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PD,MALE_DPC_TRAINEE_PSYCH_WELLB_PRAC_HC,Total Trainee Psychological Wellbeing Practitioners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PE,MALE_DPC_APP_HCA_HC,Male Apprentice - Health Care Assistants Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PF,MALE_DPC_APP_PHLEB_HC,Male Apprentice - Phlebotomists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PG,MALE_DPC_APP_PHARMA_HC,Male Apprentice - Pharmacists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PH,MALE_DPC_APP_PHYSIO_HC,Male Apprentice - Physiotherapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PI,MALE_DPC_APP_OTH_HC,Male Apprentice - Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PJ,MALE_DPC_APPRENTICE_HC,Male Apprentice - Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PK,MALE_DPC_OTH_HC,Male Other Direct Patient Care Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PL,FEMALE_DPC_HC,Female General Medical Practice Direct Patient Care Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PM,FEMALE_DPC_DISPENSER_HC,Female Dispensers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PN,FEMALE_DPC_HCA_HC,Female Health Care Assistants Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PO,FEMALE_DPC_PHLEB_HC,Female Phlebotomists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PP,FEMALE_DPC_PHARMA_HC,Female Pharmacists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PQ,FEMALE_DPC_PHYSIO_HC,Female Physiotherapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PR,FEMALE_DPC_PODIA_HC,Female Podiatrists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PS,FEMALE_DPC_PHYSICIAN_ASSOC_HC,Female Physician Associates Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PT,FEMALE_DPC_THERA_COU_HC,Female Therapist- Counsellors Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PU,FEMALE_DPC_THERA_OCC_HC,Female Therapist- Occupational Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PV,FEMALE_DPC_THERA_OTH_HC,Female Therapist- Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PW,FEMALE_DPC_NURSE_ASSOC_HC,Female Nursing Associates Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PX,FEMALE_DPC_PARAMED_HC,Female Paramedics Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PY,FEMALE_DPC_PHARMT_HC,Total Pharmacy Technicians Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
PZ,FEMALE_DPC_SPLW_HC,Total Social Prescribing Link Workers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QA,FEMALE_DPC_HI_THERA_HC,Total High Intensity Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QB,FEMALE_DPC_TRAINEE_HI_THERA_HC,Total Trainee High Intensity Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QC,FEMALE_DPC_PSYCH_WELLB_PRAC_HC,Total Psychological Wellbeing Practitioners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QD,FEMALE_DPC_TRAINEE_PSYCH_WELLB_PRAC_HC,Total Trainee Psychological Wellbeing Practitioners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QE,FEMALE_DPC_APP_HCA_HC,Female Apprentice - Health Care Assistants Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QF,FEMALE_DPC_APP_PHLEB_HC,Female Apprentice - Phlebotomists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QG,FEMALE_DPC_APP_PHARMA_HC,Female Apprentice - Pharmacists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QH,FEMALE_DPC_APP_PHYSIO_HC,Female Apprentice - Physiotherapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QI,FEMALE_DPC_APP_OTH_HC,Female Apprentice - Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QJ,FEMALE_DPC_APPRENTICE_HC,Female Apprentice - Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QK,FEMALE_DPC_OTH_HC,Female Other Direct Patient Care Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QL,TOTAL_DPC_FTE,Total General Medical Practice Direct Patient Care Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QM,TOTAL_DPC_DISPENSER_FTE,Total Dispensers Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QN,TOTAL_DPC_HCA_FTE,Total Health Care Assistants Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
