,L81034,C83023,A82031,J83049,M83049,M83703,L81055,L81058,A82022,L83072,M92649,C83003,C82038,M92011,M83052,M83033,C83019,M92002,J83055,D83029,L81066,J83007,L81002,L81643,J83006,C83085,L81052,M91007,L81047,P81607,L81029,J83029,M85007,L81019,L81063,D82037,M91017,B81035,J83032,Y02581,C83038,A82032,C83083,J83011,Y00741,L81124,M92609,L81040,J83642,C83015,L81016,A82029,B81056,L84085,J83030,Y02868,L81017,L81086,M83013,J83018,A82631,C83049,C83071,M85156,C83004,Y02627,J83050,M92012,N85052,L81130,C83033,L84080,J83052,B82069,J83042,L81018,M82046,P81020,J83040,M83639,L81046,L81074,L81021,L84051,M91004,L81060,L81044,M91013,C83075,D83062,B81011,G81017,L81051,M84030,M85143,L81043,M92009,L81119,L82054,D81058,J83020,G82229,L84063,M92039,M83662,L81635,M92024,B81038,C83029,M87021,L81056,L81079,A82013,M92630,J83037,J83021,L81642,L81127,A82035,M85177,J83028,D83053,M85051,J83008,M85056,D83027,J83003,M84019,L81632,H81097,J83034,M91019,J83035,M92006,C83056,M85003,J83603,L81102,C83063,M83129,F82021,D83036,L81088,M91643,L81116,M85669,J83060,L81050,M91008,B81095,D82034,M92607,M85128,C83005,J83046,L81024,L81004,C83031,L81028,H81043,J82138,D83023,J83619,C83021,J83045,M82057,M87012,C83072,J83053,B81027,M92013,B81046,C83007,C83079,J83016,M85023,C83611,C83051,P81051,M82039,F86044,M83107,J82058,J83026,P81633,L81117,J83023,B81058,J83036,M83001,D82100,M83022,L81014,E86004,M83719,J83019,M83727,C84060,M85076,M83738,M91011,Y02757,A82044,C83052,M92007,C83045,D82007,P81215,L81083,P82036,N82003,M83109,M83031,C83059,B81048,M86040,J83041,J83625,J83056,M83668,M85103,B85011,P84070,D83045,L81013,H83043,J82075,L81600,L81041,M83072,M92040,L81033,J83629,M92028,J82157,J83017,P81070,M92019,D83048,G81039,F81020,M91015,J83013,L81649,L81103,P82015,L81075,C83043,M92647,M83146,D82028,M81083,C83073,C83060,P81182,K81002,P81730,M83616,J83618,M92654,G81077,D82020,C83064,K81003,Y03798,C83040,C83057,L83043,D83022,L81084,M91647,Y04944,J82220,M85058,M91016,J83615,M92629,E86029,L81036,Y02354,J82123,M85030,M83097,M85061,N85014,M92627,C83009,C83633,P88016,J82017,L81026,J82077,J82633,C83022,L81062,M92031,M83065,C83047,L81057,J82025,J83039,M83020,P81078,M83036,L81072,M82029,L81089,D83055,D83079,M91612,C83013,L81670,C83037,J83043,J83010,D83060,L81087,L81031,C83041,J83005,J82136,D82053,L81118,M85079,J83004,M92014,Y00400,M85600,M86020,Y01652,C83028,J82061,K81077,D82058,M92043,M92030,Y02636,M81016,M83613,J82094,B81072,M83009,P92033,D83078,M85081,D83056,M84016,M84003,M83044,M89002,M84629,L85024,M91616,L81045,M81044,M91032,M83638,D83018,D83069,Y04631,Y04037,J83636,J82144,Y02666,M92016,J83048,M85117,M81025,C87029,M85086,J83044,M85733,P81058,M83682,M83050,K81047,A82006,J83609,L81030,M84028,M91020,D83008,Y02771,P92626,C83614,M83024,L81085,L81091,M92008,L81077,M83139,L81054,N85022,H83034,M83680,C88088,Y01166,F81125,C85022,K81633,L85043,D83067,L81042,J83014,M92015,M85028,P92619,B84006,M84062,D83047,C84012,K81067,C83065,K81040,B81099,M85029,J83632,L81648,E81035,B81034,M81032,D83044,M84015,Y03662,G81031,D83035,L81007,D83030,L81038,M85027,L81035,F82607,L81012,M84040,C83058,M92022,M83619,G81048,L81037,Y03792,G83009,M83014,L81095,F81095,L85014,L81131,F81123,M91009,L85012,G85053,D83021,L85027,M92001,D83039,M85783,L81669,N85002,L81009,D83003,C85004,Y03922,K81020,Y01013,G81085,M85167,M83608,M92010,M92041,M92026,D81085,J82131,P81036,M85062,C83014,L81015,K81069,D83009,Y02735,Y02989,L85028,F84735,L81067,D83026,J82054,J83025,M83057,Y03457,J83601,Y04907,Y01924,K81001,Y03671,M84029,J82214,L81125,D83040,L81106,J82016,N81086,D83002,L81022,M91034,M92640,P92017,D82019,L81123,M83110,M83715,L81098,M85037,M81091,L81070,K81022,J83009,C87007,Y01950,Y02986,C83018,M83069,D82041,K81057,G82007,M82031,D82003,K81014,K81073,J83047,M88022,J83646,L81078,M87016,C85622,J81011,M85043,L85005,L81094,K81004,M89013,M92612,L81101,B81018,K82033,N82048,Y05333,F86001,K84012,E85066,A84025,C83010,C83055,D83012,M86017,K81610,J83002,L85010,H85011,C85030,M91006,C85017,K83007,D83076,M86035,B87004,Y02615,F81176,C84705,L83039,J83630,K82011,Y06131,G82777,B81017,M88018,M91014,D83058,F83633,Y00776,K81082,C81067,E84057,P88015,Y00449,L81622,L81020,B86048,M91028,L83031,H84015,G81070,Y02656,M87013,H81129,G81100,Y06431,Y06443,G82090,C84124,K81006
2018-06-01,,,,552,,,,,,,,,,,,,,,722,460,156,1104,,170,,,78,,234,,,920,,156,574,,,,,,,,,276,,,,,,,,,,,368,,,184,,276,,,,,,,,,78,,,,92,,1564,,,,276,,262,,92,,,,,,,,,,,262,,,78,92,,92,,,,,,,,,,,,234,,,2024,1104,,170,,,,78,,184,,644,644,,,,,,,,,,,,,,,,,,,,92,,78,,,,,,276,,78,,,,,,92,,92,,,,,,,,,,184,,,,,,,,,920,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,276,184,,,,,262,,,92,92,368,,,,,,,,,,78,,,,,,,,,,,,,,,,92,,,,,,,,,,,184,,,,,,,,,,,,,,,,,184,,,,,,,,,,,78,,,,,,,,,,156,,184,92,,,,,,,,,,,,,,92,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,92,92,92,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,78,,,184,,,,184,,,,,,,,,,,1020,920,92,828,,92,,,,,,,78,184,,,326,,,,,,,,,184,,,,156,,,170,,,,184,,,262,156,,,,,,,,92,,,,,,,,736,,,92,,,78,,,,,,,,,,,,,368,,234,156,446,,,,,,,,,,,,,,156,,78,2576,644,,184,,,,,,92,,644,736,,,,,,,,,,,,,,,,,,,,184,,78,,,,,,552,156,,,,,,,736,,184,,,,,,,,,,184,,,,,,,,,828,,,,,,,92,,,,,,,,,,,,,,,,92,,,,,,,,,,4048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,368,,,,,,,,,,,,,92,276,,,,,184,,,,92,460,,,,,,,,,,78,78,,,,,,,,,,,,,,,184,,,,,,,92,,,,276,,,,,,,,,,,,,,,,,368,,,92,,,,,,,,,,,,,,,92,,,,,92,,92,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,92,,,,,,,,,,,,78,,,170,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,92,,,,,,,,,92,,,,,,78,92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,78,,,368,,,,92,,,,92,,,,,,,354,460,92,1104,,,156,,,,,,262,368,,,482,,,,,,,,,736,,,,,,,,,,,644,,,92,234,552,,,,,,,,,,78,,,184,,1288,,,,92,,184,,368,,,,,,,,,,,184,,,78,262,,,,,,,,,,,,,,702,,,3128,920,,,,,,78,,368,,644,644,,,,92,,,,,,,,,,,,,,,,184,,,,,,,,920,,78,,,,,,184,,184,,,,,,,,,,276,,,,,,,,,736,,,,,,,,,,,,,,,,,,,,,,,184,,,,,156,,,,,2116,92,92,,,,,,,,,,,,,78,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,184,460,,,,,184,,,92,92,368,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,184,,,,,,,,,,,,,,,,,,78,92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,156,,,184,,,,170,,,,92,,,,,,,354,828,170,460,,248,510,,,,78,,92,368,,,326,,,,,,,,,460,,,,,,,,,,,460,,78,,,276,,92,,,,,92,,,,,,92,,736,,,,184,,,,460,,,,,,,,,,,184,,,,92,,,,,,,,,,,,,,496,,,3036,828,,92,,,,,,460,,1012,92,,,,,,,,,,,,,,,,,,,,184,,,,,,,,552,78,78,,,,,,276,,,,,,,,,,,,184,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,1104,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,78,,,,,,,,,,276,,,,,,,,,,,170,,92,184,,,,,368,,,,92,368,,,,,,92,,,,78,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,,,,170,,,,92,,,,,,,,,,,510,644,248,1288,,326,2210,,,,78,,,184,,78,,,,,,,,,,736,,,,,,,,,,,460,,,184,,1012,,92,,,,,184,,78,,,,92,,1472,,,,368,,78,,170,,,,,,,,,,,92,,,78,276,,,,,,,,,,,,,,170,,,3680,552,,92,,,,78,,460,,368,552,,,,,,,,,,,92,,,,,,,,,92,,,,,,,,828,,78,,,,,,1012,,92,,,,,,,,,,460,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,276,,,,,,,,,,,,,92,460,,,,,184,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,92,92,,,,,,,,,,,,,,92,,,,,,,,,,,,,184,,,,,,,,,,170,,,,,,,,92,,,,,,,,,,,,,,,,,,,,92,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,92,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,156,,,184,,,,,,78,,,,,92,,,,,,,,,,,78,92,184,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,78,,,184,,,,92,,,,92,,,,,,,92,644,92,1104,,184,248,,,,,,,276,,,92,,,,,,,,,736,,,,,,,,,,,368,,,78,326,1840,,92,,,,,276,,,,,,,,920,,,,184,,,,,,,,,,,,,,,184,,,78,184,,,,,,,,,,,,,,78,,,2392,1104,,,,,,78,,276,,552,736,,,,92,,,,,,,,,,,,,,,,,,,,,,,,368,,,,78,,,,460,,552,,,,,,,,,,368,,,,,,,,,644,,,,,,,,,,,,92,,,,,,,,,,,184,,,,,,,,,,1104,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,368,,,,,276,,,92,92,276,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,92,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,170,,,,,,156,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,78,,,,,,,,,92,,,,,,,,,,,,,,,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,,,,,,,,92,,,,92,,,,,,,184,552,,1656,,170,964,,,,,,,184,,,170,,,,,,,,,,,,,,,,,,,,368,,,262,170,1840,,,,,,,92,,,,,,,,736,,,,184,,92,,92,,,,,,,,,,,170,,,156,92,,,,,,,,,,,,,,156,,,828,460,,,,,,78,,184,,276,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,,78,,92,,,,552,,276,,,,,,,,,,92,,,,,,,,,552,,,,,,,,,,,,92,,,,,,,,,,,184,,,,,,,,,,828,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,276,,78,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,78,,,,,,,,552,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,78,,,,,,,,,276,,,,,,,,,,,,,,,,,92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,276,,,,92,,,,92,,,,,,,630,644,,920,,404,446,,,,92,,,276,,,156,,,,,,,,,552,,,,,,,,,,,,,,340,,1472,,,,,,,184,,78,,,,,,828,,,,,,,,,,,,,,,,,,,92,,,78,92,,,,,,,,,,,,,,78,,,2208,1472,,,,,,78,,276,,460,644,,,,92,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,184,,92,,,,,,,,,,276,,,,,,,,,920,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,92,,,,,,,,,184,368,,,,,184,,,,92,184,,,,,,,,,,78,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,184,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,184,92,92,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,184,,,,92,,,,,,,,,,,652,644,,1104,,262,340,,,,78,,,184,,,262,,,,,,,,,276,,,,,,,,,,,,,,92,340,1288,,,,,,,,,,,,,92,,828,,,,,,78,,,,,,,,,,,,,92,,,78,,,,,,,,,,,,,,,,,,920,644,,,,,,78,,276,,184,644,,,,184,,,,,,78,,,,,,,,,,,,,,,,,,184,,78,,78,,,,368,,92,,,,,,,,,,276,,,,,,,,,552,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,368,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,92,,,,,,,,,,,,,460,92,,,,,552,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,92,,,,,,,,,,,,,552,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,92,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,78,,78,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,92,78,92,156,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,368,,,,,,,,92,,,,,,,276,552,,736,,170,,,,,,,78,184,,78,170,,,,,,,,,184,,,,,,,,,,,,,,170,262,184,,,,,,,184,92,156,,,,,,1104,,,,,,92,,,,,,,,,,,,,92,,,156,,,,,,,,,,,,,,,,,,1932,736,,,,,,,,184,,460,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,78,,,,552,,92,,,,92,,,,,,92,,,,,,,,,276,,,92,,,,,,,,,,,,,,,,,,,,184,,,,,,,92,,,1472,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,92,184,,,,,276,,,92,92,184,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,170,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,92,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,78,,,,,,,,,,,,184,,,,,,,,,,,,92,,,,,,,,,,92,,184,,78,78,92,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,92,,,,184,,,,,,,,,,,,276,170,920,,92,276,,,,,,,92,,78,92,,,,,,,,,92,,,,,,,,,,,,,,340,248,524,,,,,,,92,92,78,,,,92,,184,,,,,,,,,,,,,,,,,,,92,,,78,92,,,,78,,,,,,,,,,156,,,1840,644,,92,,,,,,276,,368,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,78,,,,,,184,,184,,,,,,,,,,368,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,,,,,,,,,,,,,,,,,,,,,78,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,184,,,,,184,,,312,,276,,,,,,,,,,78,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,92,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,92,276,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,184,,,,,78,78,184,156,,,,,,,,,,,,,,,
2019-05-01,,,,368,,,,,,,,,,,,,,,92,368,,460,,92,432,,,,78,,92,92,,78,92,,,,,,,,,184,,,,,,,,,,,92,,,340,248,276,,,,,,,,,78,,,,,,,,,,,,184,,,,,,,,,,,,,92,,,,,,92,,78,,,,,,,,,,78,,,1196,460,,,,,,,,276,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,78,,,,,,920,,92,,,,,,,,,,368,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,736,92,,,,,,,,,,,,,78,,,,,,,,,,,,92,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,92,92,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,92,,92,,,,,78,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,156,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,92,,92,,,,,,,,,,,,,,,,,,,,,,,
2019-06-01,,,,,,,,184,,,,92,,,,,,,184,276,184,920,,170,368,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,92,,,92,,368,,,,,,,,,,,,,,,276,,,,92,,,,,,,,,,,,,,,92,,,78,,,,,,,,,,,,,,,,,,1104,92,,,,,,,,184,,276,644,,,,,,,,,,,,,,,,,,,,184,,,,,,,,184,,78,,92,,,,92,,,,,,,,,,,,92,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,6374,,368,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,78,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,92,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,184,,,,,,,,,,78,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,92,,,92,,,,,,,,,,,,,,,,184,,,92,,,,,,,,,,,92,,,,,,,,,,,,,,
2019-07-01,,,,276,,,78,92,,,,92,,,,,,,92,552,92,368,,78,,,,,,,,,,78,92,,,,,,,,,184,,,,,,,,,,,92,,,170,354,184,,,,,,,92,,,,,,,,,,,,184,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,1932,276,,,,,,,,,,368,276,,,,184,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,644,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,920,276,92,,,,,,,,,,,,,,,,,,,78,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,92,,,,,184,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,92,,,,,,,,,,,,,92,,,92,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,92,,,184,,,,,,,,,,,,92,,92,,,,,184,,,,,,,,,,156,,92,78,92,,,,,,,,,,,
2019-08-01,,,,,,,,276,,,,,,,,,,,184,276,184,460,,170,262,,,,,,,,,,248,,,,,,,,,460,,,184,,,,,,,,,,,78,262,92,,,,,,,,,,,,,92,,92,,,,,,78,,,,,,,,,,,,78,170,,,,,,,,,,,,,92,,,,,,,,1932,276,78,,,,,,,,,92,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,156,,,,,,184,,184,,,,92,,,,,,,,,,,,,,,276,,,,,,,,,,,,184,,,,,,,,,,,92,,,,,,,,,,920,,,,,,,,,,,,,,,,,,,,,78,,,,,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,92,92,,,,,92,,,92,,184,,,,,,,,,,,,,,,,,,,,,,,,,,92,78,,184,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,276,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,156,92,,,,,,,,,
2019-09-01,156,,,,,,,92,,,,,,,,,,,184,368,92,184,,92,510,,,,,,,,,170,170,,,,,,,,,,,,,,,,,,,,92,,,432,78,276,,,,,,,92,,,,,,92,,276,,,,,,,,78,,,,,,,,,,,170,,,,92,,,,,,,,,,,,,,,,,1012,92,,,,,,,,,,184,276,,,,,,,,,,,,,,,,,,,,,78,,,,,,,92,,78,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,92,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,828,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,78,,,,,,,,,,92,,,,92,,,,,,,78,,,92,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,156,,,,,,,,,,,,92,,,92,,,,,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,92,92,78,184,,,,,
2019-10-01,92,,,,,,,92,,,,,,,,,,,276,368,170,,,156,,,,,,,78,92,,,184,,,,,,,,,368,,,,,,,184,,,,,,,78,,92,,,,,,,276,,,,,,,,276,,,,,,92,,,,,,78,,,,,,,170,,,,,,,,78,,,,,,,,,,156,,,920,184,,,,,,,,,,92,368,,,,92,,,,,,,,,,,,,,,,,156,,,,,,,92,,78,,,,,,92,,,,,,,,,,,,92,,,,,,,,,92,,170,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,92,,,,,,,78,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,184,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,460,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,78,92,,,
